feature_removed,n_features_remaining,R2,MSE
POP,7,0.7797540883595245,0.9037384950289616
SZ,6,0.6177755013921156,1.568387765122118
YR,5,0.6240408087984275,1.5426792312197182
GD,4,0.5517379511564411,1.8393606781758205
ND,3,0.4162377676196575,2.3953607012117826
RI,2,-0.38147264960510285,5.668618336560975
AE,1,-0.45386889741449865,5.965682992852117
