feature,R2
full,0.862079792593998
INS,0.8607206127379342
AE,0.8643180226066163
GD,0.8578543115166324
YR,0.8549654724117912
POP,0.830396183717029
SZ,0.7489661331081681
ND,0.6990760129010474
RI, 0
