feature,R2
full,0.8774413206030721
INS,0.8763692675283999
AE,0.8756044660506003
GD,0.8687994910960473
YR,0.8703314814580261
RI,0.8542573314081763
SZ,0.7923972818296404
ND,0.6367557338690746
POP, 0
