,ids,exp
470,1042,5
471,3255,77
472,939,20
473,1268,27
474,1034,10
475,3106,95
476,3551,59
477,3053,51
478,3674,12
479,2489,19
480,24,12
481,3088,8
482,594,5
483,707,7
484,831,24
485,3251,12
486,785,38
487,2430,16
488,783,7
489,923,41
490,2423,29
491,2080,15
492,2320,45
493,1221,65
494,3341,13
495,3360,9
496,1079,2
497,2495,24
498,627,8
499,554,5
500,2081,7
501,2122,5
502,2370,3
503,2230,7
504,3274,10
505,226,1
506,2244,18
507,2001,33
508,2965,50
509,3154,15
510,1406,3
511,2071,5
512,2579,18
513,2916,3
514,3498,75
515,2532,49
516,587,33
517,837,5
518,2167,5
519,2066,3
520,3203,20
521,2020,11
522,1967,20
523,3590,22
524,3525,39
525,904,27
526,2653,7
527,2549,5
528,2866,23
529,1622,7
530,2148,1
531,3936,25
532,3851,1
533,2011,42
534,2513,27
535,1716,1
536,1689,4
537,221,3
538,78,1
539,1693,28
540,1456,37
541,1516,31
542,3842,4
543,316,30
544,3773,7
545,2640,13
546,1908,13
547,2762,4
548,3878,5
549,2064,9
550,3734,10
551,1102,3
552,3765,2
553,1065,51
554,1593,4
555,2749,1
556,1287,3
557,1791,5
558,2123,13
559,1922,8
560,1953,13
561,2400,7
562,59,50
563,2091,4
564,3202,14
565,912,5
566,3526,20
567,3638,51
568,918,48
569,3951,32
570,2641,16
571,3007,3
572,3924,5
573,3327,2
574,3258,6
575,2712,16
576,1349,21
577,1981,11
578,445,1
579,230,8
580,2547,15
581,2605,10
582,2404,2
583,2745,1
584,2718,2
585,3692,6
586,1659,9
587,1961,16
588,2848,4
589,1266,35
590,1746,9
591,2037,9
592,2390,12
593,586,113
594,2173,1
595,2087,6
596,549,3
597,1241,4
598,1484,5
599,1393,26
600,1100,16
601,1377,21
602,2871,15
603,514,17
604,2373,1
605,2968,14
606,1041,12
607,35,13
608,1129,11
609,2612,9
610,2363,10
611,447,1
612,2144,21
613,3284,21
614,23,17
615,2352,16
616,1369,3
617,3929,1
618,1088,4
619,1972,23
620,3884,5
621,3703,1
622,1256,1
623,2599,16
624,2447,12
625,1652,33
626,3038,7
627,3534,12
628,2988,6
629,1015,6
630,2889,2
631,3739,1
632,2133,5
633,3209,5
634,2977,8
635,2646,3
636,125,1
637,2049,2
638,2345,1
639,1085,20
640,2947,7
641,2647,7
642,2277,5
643,3086,4
644,157,9
645,3820,3
646,3256,5
647,2790,11
648,1234,9
649,1288,10
650,1395,8
651,1911,15
652,2063,3
653,2045,8
654,2540,51
655,3093,7
656,3514,4
657,1273,21
658,1274,3
659,1305,2
660,1966,12
661,2405,6
662,708,16
663,466,29
664,922,4
665,2019,1
666,2967,15
667,1261,2
668,3005,2
669,1093,1
670,900,3
671,3586,17
672,2925,8
673,2469,12
674,1376,7
675,46,7
676,3808,3
677,229,4
678,87,8
679,841,1
680,2519,15
681,3528,2
682,1729,3
683,1681,3
684,2048,10
685,84,2
686,5,13
687,1823,12
688,2632,12
689,233,3
690,584,2
691,1147,1
692,1320,3
693,1371,5
694,552,3
695,2138,4
696,2004,8
697,1012,2
698,1624,1
699,1089,9
700,898,10
701,905,1
702,934,2
703,2002,1
704,2687,4
705,2746,3
706,1718,3
707,3069,5
708,3128,2
709,3716,29
710,2722,7
711,2010,9
712,1944,12
713,1345,4
714,2246,10
715,336,25
716,2794,3
717,1428,1
718,2497,4
719,1541,8
720,236,1
721,3729,10
722,2727,3
723,915,5
724,1198,20
725,1218,1
726,672,9
727,1770,5
728,3711,7
729,1626,2
730,1237,15
731,1370,7
732,20,8
733,1551,3
734,1644,9
735,1019,1
736,542,1
737,3268,1
738,519,1
739,3522,7
740,2515,1
741,3700,2
742,103,5
743,158,3
744,3812,5
745,2311,1
746,1289,1
747,3468,1
748,638,2
749,937,1
750,261,3
751,3654,1
752,2608,1
753,3329,1
754,2928,2
755,3050,6
756,2121,2
757,2278,7
758,2548,3
759,1127,1
760,593,4
761,848,15
762,1963,2
763,1068,3
764,1951,3
765,53,12
766,1006,7
767,1251,11
768,3286,13
769,3810,3
770,3870,3
771,3910,7
772,2005,1
773,3439,2
774,363,1
775,375,3
776,161,8
777,2006,1
778,3003,4
779,2088,3
780,431,3
781,1996,7
782,2662,3
783,2664,5
784,2106,1
785,1280,10
786,1339,2
787,3897,3
788,1939,2
789,1011,1
790,1018,1
791,977,2
792,318,1
793,31,8
794,1751,1
795,1881,2
796,3661,2
797,2134,6
798,550,2
799,1930,1
800,1983,6
801,1354,3
802,2314,2
803,2394,8
804,1103,1
805,3223,1
806,301,1
807,1957,4
808,2633,5
809,3651,2
810,3218,11
811,1031,8
812,2675,7
813,1081,1
814,1380,6
815,144,2
816,93,1
817,2529,2
818,2455,2
819,3478,1
820,350,3
821,1954,1
822,164,11
823,808,4
824,2597,4
825,3032,7
826,1906,2
827,2302,2
828,1734,3
829,3440,2
830,3840,1
831,252,1
832,2375,3
833,439,2
834,292,5
835,699,1
836,3264,1
837,3554,7
838,172,3
839,3275,1
840,1946,5
841,3490,1
842,1540,1
843,409,1
844,1672,3
845,1452,1
846,217,1
847,742,2
848,2699,2
849,3096,4
850,3447,2
851,3699,2
852,3727,1
853,1374,3
854,441,5
855,2734,4
856,2723,5
857,2756,5
858,1964,2
859,2427,1
860,453,2
861,3741,2
862,1026,5
863,3443,3
864,195,1
865,1628,3
866,2898,3
867,185,1
868,807,1
869,2334,1
870,1670,2
871,266,1
872,312,1
873,3112,1
874,3743,4
875,1326,2
876,3475,2
877,2897,1
878,3740,1
879,1710,2
880,367,4
881,565,3
882,3391,2
883,349,2
884,2041,1
885,1700,1
886,2475,1
887,2651,1
888,3770,1
889,2450,2
890,426,1
891,991,1
892,329,1
893,538,1
894,327,2
895,1200,6
896,981,1
897,3259,1
898,376,1
899,3207,1
900,3941,3
901,3759,1
902,3565,1
903,2989,1
904,3420,1
905,3095,1
906,1536,1
907,3124,3
908,1942,2
909,2383,2
910,1319,3
911,2402,1
912,1478,8
913,879,1
914,149,1
915,450,1
916,3881,1
917,1232,1
918,2135,1
919,160,1
920,1225,1
921,2284,8
922,471,1
923,1351,1
924,3877,1
925,3330,1
926,2584,1
927,440,2
928,1421,1
929,1058,2
930,237,2
931,190,1
