feature,R2
full,0.8746492197943603
INS,0.8743254534322837
AE,0.8743654344594785
GD,0.8608167711194383
YR,0.8609889385052325
SZ,0.7921757590500418
RI,0.7632080459111839
ND,0.7240593672490954
POP, 0
