,feature_added,R2,MSE
0,B1,0.5150515382845638,0.9525356382045846
1,B2,0.7685475390723224,0.45461886156705683
2,B3,0.7798265782381887,0.43246457586793613
3,B4,0.796287568182763,0.4001319038415732
4,B5,0.8001649219011816,0.3925160067096303
5,B6,0.8017952071193362,0.3893138009221592
6,B7,0.8362170478129689,0.3217024306802513
7,B8,0.847345668211443,0.29984359748362743
