,ids,exp
472,2131,51
473,31,64
474,428,16
475,972,31
476,166,14
477,981,17
478,2630,4
479,977,8
480,1907,14
481,1282,6
482,991,19
483,2825,21
484,692,1
485,2773,50
486,992,55
487,35,50
488,258,63
489,1927,66
490,583,84
491,3220,8
492,1031,2
493,1237,21
494,993,13
495,1929,10
496,223,6
497,2886,4
498,3459,10
499,1463,23
500,1398,47
501,427,22
502,2779,4
503,2574,16
504,68,83
505,691,28
506,578,15
507,1814,18
508,1986,20
509,1838,18
510,1908,26
511,960,23
512,1918,24
513,1144,23
514,2197,8
515,3517,11
516,3268,16
517,2323,14
518,1009,10
519,1911,27
520,639,33
521,1897,31
522,1551,24
523,601,9
524,2742,10
525,2668,9
526,2176,64
527,3177,251
528,3647,67
529,3701,85
530,471,24
531,1822,16
532,1366,11
533,1544,1
534,2063,3
535,1271,35
536,571,7
537,1113,52
538,2674,142
539,2699,23
540,2793,216
541,2403,80
542,84,3
543,2484,54
544,56,35
545,1256,7
546,1259,8
547,1499,8
548,2865,50
549,209,3
550,1091,19
551,478,6
552,520,5
553,867,52
554,3321,145
555,2266,20
556,2805,7
557,1805,6
558,790,12
559,1364,14
560,1968,2
561,1545,87
562,529,11
563,3218,65
564,101,44
565,3023,8
566,1096,14
567,3022,9
568,2857,37
569,3293,10
570,3243,18
571,2136,8
572,144,61
573,1016,17
574,1500,10
575,46,66
576,2852,19
577,91,1
578,1281,30
579,1831,47
580,954,22
581,1935,14
582,1209,49
583,1274,43
584,1865,12
585,1272,61
586,735,27
587,2198,25
588,1536,130
589,327,30
590,1122,47
591,240,10
592,3322,58
593,2762,15
594,1005,29
595,3434,4
596,2437,2
597,1785,20
598,1172,6
599,753,6
600,2588,3
601,1910,1
602,2370,7
603,2255,4
604,610,20
605,1904,38
606,651,34
607,3398,21
608,1202,43
609,3510,238
610,1100,2
611,1759,5
612,3311,15
613,2334,92
614,1156,79
615,202,6
616,1550,9
617,2931,69
618,759,6
619,60,24
620,1223,23
621,1492,23
622,92,63
623,1657,12
624,2145,9
625,1693,7
626,1154,25
627,2074,1
628,2999,56
629,2645,4
630,2281,6
631,417,5
632,3622,22
633,1553,19
634,3302,70
635,239,58
636,1581,31
637,3456,7
638,1780,13
639,3463,12
640,201,8
641,1729,21
642,2866,31
643,1207,22
644,154,5
645,2274,5
646,2721,13
647,2781,1
648,1712,32
649,931,10
650,1479,13
651,1886,14
652,2975,3
653,2798,3
654,3493,45
655,3027,11
656,1784,9
657,2005,54
658,1901,5
659,2941,9
660,1960,10
661,2263,15
662,2411,5
663,1292,53
664,3454,1
665,652,30
666,2170,16
667,596,10
668,171,11
669,1967,10
670,2276,8
671,1099,11
672,1714,3
673,1278,10
674,742,43
675,2757,63
676,1653,33
677,1493,4
678,1432,2
679,532,7
680,1460,17
681,43,5
682,480,16
683,947,5
684,1279,19
685,3200,1
686,3402,8
687,1455,14
688,3351,36
689,3368,16
690,1165,19
691,3374,15
692,2384,39
693,1037,1
694,3244,2
695,179,14
696,6,42
697,854,22
698,873,5
699,1084,30
700,2475,12
701,1614,19
702,2344,12
703,9,21
704,335,9
705,284,49
706,1978,8
707,518,5
708,502,6
709,2469,42
710,229,11
711,1336,5
712,2182,9
713,2587,28
714,3102,5
715,3455,127
716,1142,60
717,1777,32
718,67,19
719,728,3
720,976,46
721,207,8
722,2520,2
723,2794,36
724,780,5
725,2707,24
726,452,17
727,1439,18
728,2556,54
729,3061,3
730,1909,4
731,319,63
732,2257,8
733,944,11
734,2795,11
735,2969,7
736,2867,21
737,2959,145
738,1703,13
739,1734,7
740,3234,42
741,1830,19
742,1835,12
743,454,7
744,1161,63
745,3503,20
746,3219,19
747,1162,32
748,2736,30
749,352,1
750,104,1
751,1561,8
752,97,1
753,1510,1
754,2756,2
755,1151,1
756,238,1
757,3188,4
758,2538,1
759,2036,2
760,2729,10
761,2719,4
762,2727,15
763,2277,14
764,1765,14
765,2976,42
766,2050,1
767,1097,25
768,3443,5
769,1201,55
770,1138,9
771,3669,94
772,3327,5
773,418,12
774,538,9
775,2275,3
776,945,7
777,406,2
778,872,31
779,158,10
780,3488,25
781,1192,77
782,869,20
783,1021,10
784,2672,1
785,345,11
786,1939,9
787,2079,2
788,343,13
789,649,8
790,740,12
791,996,8
792,3126,62
