,ids,exp
459,1296,801
460,3227,9
461,3976,497
462,3872,91
463,4998,19
464,5695,89
465,1534,351
466,5207,20
467,4608,247
468,5472,461
469,6522,91
470,1606,392
471,4165,221
472,4106,489
473,916,240
474,2620,49
475,5701,700
476,1395,47
477,2426,55
478,3761,73
479,3259,54
480,5229,27
481,3407,318
482,4328,59
483,4220,724
484,5536,75
485,946,457
486,3854,16
487,3982,223
488,4883,17
489,3609,209
490,5489,418
491,2383,25
492,5058,29
493,468,35
494,1135,704
495,6364,775
496,759,544
497,285,602
498,2717,442
499,3245,491
500,5296,118
501,3666,603
502,4112,161
503,2786,235
504,1551,233
505,5529,357
506,255,285
507,5356,718
508,667,538
509,5872,930
510,4377,331
511,372,183
512,1880,353
513,4518,117
514,41,102
515,1962,5
516,2952,79
517,951,1436
518,2554,22
519,4597,77
520,3838,136
521,1972,65
522,3144,184
523,962,76
524,350,67
525,987,539
526,3209,198
527,1826,224
528,2444,121
529,6378,267
530,2145,670
531,4980,106
532,2764,58
533,5875,9
534,998,104
535,904,105
536,5714,47
537,3124,29
538,6448,19
539,1379,102
540,4952,15
541,3177,53
542,135,57
543,2660,40
544,2493,70
545,4749,136
546,5283,4
547,5278,34
548,178,57
549,4079,56
550,4768,443
551,5931,379
552,1161,193
553,772,136
554,3879,901
555,5076,106
556,3232,403
557,6581,117
558,3756,123
559,2843,67
560,3430,54
561,3576,77
562,3662,27
563,6203,23
564,3385,1579
565,4428,88
566,150,54
567,5052,39
568,1322,181
569,224,739
570,5437,217
571,3971,85
572,95,521
573,216,428
574,6194,478
575,2801,254
576,6369,609
577,2432,145
578,6459,206
579,3980,400
580,6502,179
581,4675,184
582,917,964
583,5199,122
584,1995,602
585,5067,81
586,3805,419
587,4125,1223
588,6517,178
589,5385,30
590,785,355
591,4912,13
592,3305,82
593,594,149
594,1389,233
595,1174,52
596,3332,84
597,3538,110
598,5575,108
599,1745,76
600,5638,70
601,3327,83
602,577,256
603,4477,266
604,6032,293
605,5311,218
606,6084,96
607,409,215
608,2212,460
609,1187,246
610,4640,146
611,6100,218
612,3914,195
613,6403,282
614,2910,82
615,5487,361
616,1393,126
617,1914,166
618,411,41
619,2831,272
620,1968,187
621,2578,35
622,278,55
623,3169,61
624,1373,41
625,3560,62
626,4604,218
627,5699,10
628,758,281
629,5649,85
630,6508,35
631,5728,243
632,1561,17
633,6441,56
634,6171,127
635,734,6
636,1947,158
637,620,117
638,444,155
639,6400,299
640,144,491
641,2819,21
642,2313,66
643,1375,15
644,4278,467
645,3379,189
646,551,148
647,862,106
648,453,151
649,6536,129
650,2343,145
